round,policy,persona,device,chosen_arm_ids,p_click,reward
1,bandit,balanced,desktop,featured_service_2|hero_compact|hide_locations,0.125511,0
1,random,balanced,desktop,featured_service_2|testimonials_compact|highlight_plan_3,0.155511,1
1,no_change,balanced,desktop,no_change,0.065511,0
2,bandit,service_focused,mobile,featured_service_2|highlight_plan_2|hide_locations,0.281263,0
2,random,service_focused,mobile,hero_cta_emphasis|promote_testimonials|featured_service_2,0.281263,0
2,no_change,service_focused,mobile,no_change,0.031263,0
3,bandit,service_focused,desktop,featured_service_2|hero_compact|hide_locations,0.294403,1
3,random,service_focused,desktop,pricing_compact|promote_contact|services_compact,0.294403,0
3,no_change,service_focused,desktop,no_change,0.044403,0
4,bandit,location_focused,desktop,featured_service_2|hero_compact|hide_locations,0.284687,0
4,random,location_focused,desktop,locations_compact|services_compact|featured_service_2,0.284687,0
4,no_change,location_focused,desktop,no_change,0.034687,0
5,bandit,price_focused,mobile,featured_service_2|hero_compact|hide_locations,0.023326,0
5,random,price_focused,mobile,promote_contact|featured_service_1|contact_compact,0.023326,0
5,no_change,price_focused,mobile,no_change,0.023326,0
6,bandit,price_focused,desktop,featured_service_2|hero_compact|hide_locations,0.027755,0
6,random,price_focused,desktop,faq_compact|faq_top3|testimonials_single,0.027755,0
6,no_change,price_focused,desktop,no_change,0.027755,0
7,bandit,trust_focused,desktop,featured_service_2|contact_compact|hide_locations,0.037786,0
7,random,trust_focused,desktop,faq_compact|highlight_plan_1|hero_cta_emphasis,0.287786,0
7,no_change,trust_focused,desktop,no_change,0.037786,0
8,bandit,price_focused,mobile,highlight_plan_1|hero_compact|hide_locations,0.276405,0
8,random,price_focused,mobile,highlight_plan_2|featured_service_1|services_compact,0.276405,0
8,no_change,price_focused,mobile,no_change,0.026405,0
9,bandit,location_focused,mobile,featured_service_2|hero_compact|hide_locations,0.261113,0
9,random,location_focused,mobile,hero_compact|featured_service_2|faq_top3,0.011113,0
9,no_change,location_focused,mobile,no_change,0.011113,0
10,bandit,contact_focused,desktop,testimonials_single|hero_compact|hide_locations,0.040147,0
10,random,contact_focused,desktop,faq_top3|promote_contact|highlight_plan_2,0.290147,0
10,no_change,contact_focused,desktop,no_change,0.040147,0
11,bandit,service_focused,desktop,featured_service_2|hero_compact|hide_locations,0.293384,0
11,random,service_focused,desktop,featured_service_3|promote_testimonials|contact_compact,0.293384,1
11,no_change,service_focused,desktop,no_change,0.043384,0
12,bandit,balanced,desktop,featured_service_2|hero_compact|hide_locations,0.119711,1
12,random,balanced,desktop,services_compact|featured_service_3|highlight_plan_3,0.119711,0
12,no_change,balanced,desktop,no_change,0.059711,0
13,bandit,trust_focused,desktop,featured_service_2|hero_compact|hide_locations,0.036317,0
13,random,trust_focused,desktop,locations_compact|hero_cta_emphasis|services_compact,0.036317,0
13,no_change,trust_focused,desktop,no_change,0.036317,0
14,bandit,service_focused,desktop,featured_service_2|hero_compact|hide_locations,0.288676,1
14,random,service_focused,desktop,testimonials_single|contact_compact|featured_service_2,0.288676,0
14,no_change,service_focused,desktop,no_change,0.038676,0
15,bandit,service_focused,desktop,featured_service_2|hero_compact|hide_locations,0.284469,0
15,random,service_focused,desktop,pricing_compact|promote_pricing|faq_compact,0.034469,0
15,no_change,service_focused,desktop,no_change,0.034469,0
16,bandit,balanced,desktop,featured_service_2|hero_compact|hide_locations,0.120561,0
16,random,balanced,desktop,promote_pricing|highlight_plan_3|hero_cta_emphasis,0.090561,0
16,no_change,balanced,desktop,no_change,0.060561,0
17,bandit,contact_focused,desktop,featured_service_2|hero_compact|hide_locations,0.040984,0
17,random,contact_focused,desktop,hero_cta_emphasis|featured_service_3|about_compact,0.040984,0
17,no_change,contact_focused,desktop,no_change,0.040984,0
18,bandit,contact_focused,mobile,featured_service_2|hero_compact|hide_locations,0.028089,0
18,random,contact_focused,mobile,featured_service_1|hero_cta_emphasis|promote_testimonials,0.028089,0
18,no_change,contact_focused,mobile,no_change,0.028089,0
19,bandit,location_focused,mobile,featured_service_2|hero_compact|hide_locations,0.267651,0
19,random,location_focused,mobile,highlight_plan_2|contact_compact|hide_locations,0.267651,1
19,no_change,location_focused,mobile,no_change,0.017651,0
20,bandit,price_focused,mobile,featured_service_2|hero_compact|hide_locations,0.032731,0
20,random,price_focused,mobile,pricing_compact|hero_cta_emphasis|highlight_plan_2,0.282731,0
20,no_change,price_focused,mobile,no_change,0.032731,0
21,bandit,contact_focused,desktop,featured_service_2|hero_compact|hide_locations,0.045884,0
21,random,contact_focused,desktop,featured_service_1|faq_compact|highlight_plan_3,0.045884,0
21,no_change,contact_focused,desktop,no_change,0.045884,0
22,bandit,balanced,desktop,featured_service_2|hero_compact|hide_locations,0.120632,0
22,random,balanced,desktop,promote_pricing|featured_service_1|locations_compact,0.150632,0
22,no_change,balanced,desktop,no_change,0.060632,0
23,bandit,contact_focused,mobile,featured_service_2|hero_compact|hide_locations,0.035963,0
23,random,contact_focused,mobile,promote_testimonials|contact_compact|hero_cta_emphasis,0.285963,0
23,no_change,contact_focused,mobile,no_change,0.035963,0
24,bandit,service_focused,desktop,featured_service_2|hero_compact|hide_locations,0.284964,1
24,random,service_focused,desktop,contact_compact|highlight_plan_1|locations_compact,0.034964,0
24,no_change,service_focused,desktop,no_change,0.034964,0
25,bandit,price_focused,desktop,featured_service_2|hero_compact|hide_locations,0.042284,0
25,random,price_focused,desktop,about_compact|highlight_plan_1|promote_testimonials,0.292284,0
25,no_change,price_focused,desktop,no_change,0.042284,0
26,bandit,contact_focused,desktop,featured_service_2|faq_top3|hide_locations,0.027437,0
26,random,contact_focused,desktop,locations_compact|testimonials_single|highlight_plan_1,0.027437,0
26,no_change,contact_focused,desktop,no_change,0.027437,0
27,bandit,balanced,mobile,featured_service_2|hero_compact|hide_locations,0.108740,1
27,random,balanced,mobile,highlight_plan_1|faq_compact|contact_compact,0.138740,0
27,no_change,balanced,mobile,no_change,0.048740,1
28,bandit,trust_focused,desktop,featured_service_2|hero_compact|hide_locations,0.031394,0
28,random,trust_focused,desktop,featured_service_1|promote_services|faq_top3,0.281394,0
28,no_change,trust_focused,desktop,no_change,0.031394,0
29,bandit,location_focused,mobile,featured_service_2|hero_compact|hide_locations,0.276947,0
29,random,location_focused,mobile,services_compact|featured_service_2|promote_pricing,0.026947,0
29,no_change,location_focused,mobile,no_change,0.026947,0
30,bandit,contact_focused,mobile,featured_service_2|hero_compact|hide_locations,0.026232,0
30,random,contact_focused,mobile,promote_pricing|testimonials_compact|about_compact,0.026232,0
30,no_change,contact_focused,mobile,no_change,0.026232,0
31,bandit,service_focused,desktop,featured_service_2|hero_compact|hide_locations,0.281176,0
31,random,service_focused,desktop,featured_service_1|contact_compact|locations_compact,0.281176,0
31,no_change,service_focused,desktop,no_change,0.031176,0
32,bandit,location_focused,desktop,featured_service_2|hero_compact|hide_locations,0.282346,0
32,random,location_focused,desktop,hero_cta_emphasis|promote_contact|featured_service_1,0.032346,0
32,no_change,location_focused,desktop,no_change,0.032346,0
33,bandit,contact_focused,mobile,featured_service_2|hero_compact|hide_locations,0.026504,0
33,random,contact_focused,mobile,promote_contact|highlight_plan_1|testimonials_single,0.276504,1
33,no_change,contact_focused,mobile,no_change,0.026504,0
34,bandit,location_focused,mobile,featured_service_2|hero_compact|hide_locations,0.278796,0
34,random,location_focused,mobile,locations_compact|testimonials_compact|hero_cta_emphasis,0.278796,1
34,no_change,location_focused,mobile,no_change,0.028796,0
35,bandit,contact_focused,desktop,highlight_plan_3|hero_compact|hide_locations,0.034191,0
35,random,contact_focused,desktop,testimonials_single|featured_service_1|promote_pricing,0.034191,0
35,no_change,contact_focused,desktop,no_change,0.034191,0
36,bandit,balanced,mobile,featured_service_2|hero_compact|hide_locations,0.108721,0
36,random,balanced,mobile,services_compact|featured_service_1|hero_compact,0.078721,0
36,no_change,balanced,mobile,no_change,0.048721,0
37,bandit,balanced,desktop,featured_service_2|hero_compact|hide_locations,0.122813,0
37,random,balanced,desktop,highlight_plan_3|promote_testimonials|featured_service_2,0.152813,0
37,no_change,balanced,desktop,no_change,0.062813,0
38,bandit,location_focused,mobile,featured_service_2|hero_compact|hide_locations,0.260856,1
38,random,location_focused,mobile,hero_cta_emphasis|testimonials_single|featured_service_2,0.010856,0
38,no_change,location_focused,mobile,no_change,0.010856,0
39,bandit,trust_focused,mobile,featured_service_2|hero_compact|hide_locations,0.026472,0
39,random,trust_focused,mobile,promote_pricing|highlight_plan_1|featured_service_3,0.026472,0
39,no_change,trust_focused,mobile,no_change,0.026472,0
40,bandit,service_focused,mobile,featured_service_2|hero_compact|hide_locations,0.271169,0
40,random,service_focused,mobile,testimonials_single|promote_testimonials|featured_service_3,0.271169,0
40,no_change,service_focused,mobile,no_change,0.021169,0
41,bandit,price_focused,mobile,featured_service_2|hero_compact|hide_locations,0.026055,0
41,random,price_focused,mobile,highlight_plan_2|hide_locations|promote_pricing,0.276055,0
41,no_change,price_focused,mobile,no_change,0.026055,0
42,bandit,contact_focused,desktop,featured_service_2|hero_compact|hide_locations,0.027789,0
42,random,contact_focused,desktop,highlight_plan_3|promote_contact|locations_compact,0.277789,0
42,no_change,contact_focused,desktop,no_change,0.027789,0
43,bandit,balanced,desktop,featured_service_2|hero_compact|hide_locations,0.120016,0
43,random,balanced,desktop,hide_locations|faq_top3|highlight_plan_2,0.150016,0
43,no_change,balanced,desktop,no_change,0.060016,0
44,bandit,location_focused,mobile,featured_service_2|hero_compact|hide_locations,0.277058,0
44,random,location_focused,mobile,testimonials_compact|hero_cta_emphasis|highlight_plan_2,0.027058,0
44,no_change,location_focused,mobile,no_change,0.027058,0
45,bandit,trust_focused,desktop,featured_service_2|hero_compact|hide_locations,0.019855,0
45,random,trust_focused,desktop,testimonials_single|hide_locations|hero_cta_emphasis,0.269855,0
45,no_change,trust_focused,desktop,no_change,0.019855,0
46,bandit,service_focused,desktop,featured_service_2|hero_compact|hide_locations,0.284851,0
46,random,service_focused,desktop,about_compact|highlight_plan_3|promote_contact,0.034851,0
46,no_change,service_focused,desktop,no_change,0.034851,0
47,bandit,trust_focused,mobile,featured_service_2|hero_compact|highlight_plan_1,0.015321,0
47,random,trust_focused,mobile,promote_services|locations_compact|highlight_plan_1,0.015321,0
47,no_change,trust_focused,mobile,no_change,0.015321,0
48,bandit,service_focused,desktop,featured_service_2|hero_compact|hide_locations,0.288338,0
48,random,service_focused,desktop,hero_compact|featured_service_3|faq_compact,0.288338,0
48,no_change,service_focused,desktop,no_change,0.038338,0
49,bandit,trust_focused,mobile,featured_service_2|hero_compact|hide_locations,0.018440,0
49,random,trust_focused,mobile,promote_contact|hero_cta_emphasis|highlight_plan_3,0.018440,0
49,no_change,trust_focused,mobile,no_change,0.018440,0
50,bandit,balanced,mobile,featured_service_2|hero_compact|hide_locations,0.116664,0
50,random,balanced,mobile,featured_service_3|testimonials_compact|about_compact,0.116664,0
50,no_change,balanced,mobile,no_change,0.056664,0
